Gentiana,acaulis,ventmed,1
Gentiana,acaulis,ventapi,1
Gentiana,acaulis,dorsapi,1
Gentiana,acaulis,dorsmed,1
Gentiana,acaulis,ventmed,2
Gentiana,acaulis,ventapi,2
Gentiana,acaulis,dorsapi,2
Gentiana,acaulis,dorsmed,2
Gentiana,acaulis,ventmed,3
Gentiana,acaulis,ventapi,3
Gentiana,acaulis,dorsapi,3
Gentiana,acaulis,dorsmed,3
Gentiana,acaulis,ventmed,4
Gentiana,acaulis,ventapi,4
Gentiana,acaulis,dorsapi,4
Gentiana,acaulis,dorsmed,4
Gentiana,acaulis,ventmed,5
Gentiana,acaulis,ventapi,5
Gentiana,acaulis,dorsapi,5
Gentiana,acaulis,dorsmed,5
Gentiana,acaulis,ventmed,6
Gentiana,acaulis,ventapi,6
Gentiana,acaulis,dorsapi,6
Gentiana,acaulis,dorsmed,6
Gentiana,clusii,ventmed,1
Gentiana,clusii,ventapi,1
Gentiana,clusii,dorsapi,1
Gentiana,clusii,dorsmed,1
Gentiana,clusii,ventmed,2
Gentiana,clusii,ventapi,2
Gentiana,clusii,dorsapi,2
Gentiana,clusii,dorsmed,2
Gentiana,acaulis,ventapi,7
Gentiana,acaulis,ventmed,7
Gentiana,acaulis,caudapi,7
Gentiana,acaulis,caudmed,7
Gentiana,acaulis,ventapi,8
Gentiana,acaulis,ventmed,8
Gentiana,acaulis,caudapi,8
Gentiana,acaulis,caudmed,8
Gentiana,acaulis,narb,1
Gentiana,acaulis,narb,2
Primula,lutea,apic,1
Primula,lutea,basa,1
Primula,lutea,apic,2
Primula,lutea,basa,2
Primula,lutea,apic,3
Primula,lutea,basa,3
Primula,lutea,apic,4
Primula,lutea,basa,4
Primula,lutea,apic,5
Primula,lutea,basa,5
Primula,lutea,apic,6
Primula,lutea,basa,6
Primula,lutea,apic,7
Primula,lutea,basa,7
Primula,lutea,apic,8
Primula,lutea,basa,8
Primula,lutea,apic,9
Primula,lutea,basa,9
Primula,lutea,apic,10
Primula,lutea,basa,10
Primula,hirsuta,apic,1
Primula,hirsuta,basa,1
Primula,hirsuta,apic,2
Primula,hirsuta,basa,2
Primula,hirsuta,apic,3
Primula,hirsuta,basa,3
Primula,hirsuta,apic,4
Primula,hirsuta,basa,4
Primula,hirsuta,apic,5
Primula,hirsuta,basa,5
Primula,hirsuta,apic,6
Primula,hirsuta,basa,6
Primula,hirsuta,apic,7
Primula,hirsuta,basa,7
Primula,hirsuta,apic,8
Primula,hirsuta,basa,8
Primula,hirsuta,apic,9
Primula,hirsuta,basa,9
Primula,hirsuta,apic,10
Primula,hirsuta,basa,10
Rhododendron,hirsutum,ventr,1
Rhododendron,hirsutum,dors,1
Rhododendron,hirsutum,ventr,2
Rhododendron,hirsutum,dors,2
Rhododendron,hirsutum,ventr,3
Rhododendron,hirsutum,dors,3
Rhododendron,hirsutum,ventr,4
Rhododendron,hirsutum,dors,4
Rhododendron,hirsutum,ventr,5
Rhododendron,hirsutum,dors,5
Rhododendron,hirsutum,ventr,6
Rhododendron,hirsutum,dors,6
Rhododendron,hirsutum,ventr,7
Rhododendron,hirsutum,dors,7
Rhododendron,hirsutum,ventr,8
Rhododendron,hirsutum,dors,8
Rhododendron,hirsutum,ventr,9
Rhododendron,hirsutum,dors,9
Rhododendron,ferrugineum,ventr,1
Rhododendron,ferrugineum,dors,1
Rhododendron,ferrugineum,ventr,2
Rhododendron,ferrugineum,dors,2
Rhododendron,ferrugineum,ventr,3
Rhododendron,ferrugineum,dors,3
Rhododendron,ferrugineum,ventr,4
Rhododendron,ferrugineum,dors,4
Rhododendron,ferrugineum,ventr,5
Rhododendron,ferrugineum,dors,5
Silene_acaulis,bryoides,petal,1
Silene_acaulis,bryoides,petal,2
Silene_acaulis,bryoides,petal,3
Silene_acaulis,bryoides,petal,4
Silene_acaulis,bryoides,petal,5
Silene_acaulis,acaulis,petal,1
Silene_acaulis,acaulis,petal,2
Silene_acaulis,acaulis,petal,3
Silene_acaulis,acaulis,petal,4
Silene_acaulis,acaulis,petal,5
